序号,大头照,姓名,性别,品种,出生日期（推算）,绝育情况,疫苗信息,状态,性格,亲属关系,平时游玩区域,生活照1,生活照2,生活照3,,,,
46, ,花生,母,,,已绝育,,已领养,貌美三花，胆小，可撸,,操场附近, , ,,,,,
47, ,妹妹,母,,,已绝育,,已领养,十分亲人，有取代哑哑的意向,,二号楼、纪念品店附近, ,,,,,,
48, ,屯屯,公,,,已绝育,,正常,神似吨吨，脖子上一撮白毛，胆小亲人,,二号楼、纪念品店附近,,,,,,,
49, ,瘸子,公,,,未绝育,,回喵星,纯黑、死鱼眼，校区的黑恶势力，遍地生崽,,无处不在, ,,,,,,
50, ,逃白白,公,,,已绝育,,正常,纯白，因被呆呆追着打得名，胆小偶尔亲人，会伸爪子,,操场、六号楼附近, , ,,,,,
51, ,毛毛,公,,,已绝育,,正常,纯橘，殴打过吨吨和鹰鹰，偶尔可摸,,逸夫会堂、纪念品店,,,,,,,
52, ,橙崽,母,,,已绝育,,正常,小橙子的孩子，贪吃，胆小,,二号楼、纪念品店附近, ,,,,,,
53, ,锅盖黑崽1号,公,,,已绝育,,正常,操场小屋附近的双胞胎黑猫,,操场小屋,,,,,,,
54, ,锅盖黑崽2号,母,,,已绝育,,正常,操场小屋附近的双胞胎黑猫,,操场小屋,,,,,,,
55, ,牧牧,母,,,已绝育,,正常,奶牛，锅盖的孩子,,车队,,,,,,,
56, ,山竹,公,,,已绝育,,正常,操场小屋附近，不亲人，不常见,,操场小屋,,,,,,,
58, ,tiger,公,,,已绝育,,回喵星,纯橘，虎斑，有口炎,,操场, ,,,,,,
59, ,阴阳脸,母,,,未绝育,,正常,能生且难抓，小煤球的妈妈，瘸子的老伴,,二号楼附近,,,,,,,
60, ,小煤球,母,,,未绝育,,正常,漂亮的长毛黑猫，胆小,,二号楼附近, , , ,,,,
61, ,明明,母,,,已绝育,,已领养,独眼奶牛猫，短胖身材，性格超好,,操场小屋（已领养）, , ,,,,,
62, ,David喵,不详,,,未绝育,,正常,酷似陶喆，也许会唱r&b,,生活区, ,,,,,,
63,,胆胆,母,,,未绝育,,正常,玳瑁，肚子很大，新人比较警惕,,"3号楼猫粮供给处
",,,,,,,
64, ,Danica ,公,,,未绝育,,正常,有点怕生 不能喝酸奶,,图书馆门口,,,,,,,
65, ,欣欣,母,,,已绝育,,正常,                   ,,,,,,,,,
66, ,欣弟,公,,,已绝育,,已领养,,,, ,,,,,,
67, ,MAX,公,,,已绝育,,已领养,,,,,,,,,,
68, ,夏尔,母,,,已绝育,,正常,,,, , , ,,,,
69, ,卡洛斯,母,,,已绝育,,正常,,,,,,,,,,
, ,hammer,公,,,已绝育, ,正常,,,,,,,,,,
, ,聪聪,母,,,已绝育,,正常,,,, ,,,,,,
, ,粽子,公,,,已绝育, ,正常,,,,,,,,,,
, ,小卡,母,,,已绝育, ,正常,,,,,,,,,,
, ,壮壮,公,,,已绝育, ,正常,,,, ,,,,,,
, ,咬咬,母,,,已绝育, ,正常,,,,,,,,,,
,,卡门,公,,,,,正常,,,,,,,,,,
